coachID,year,tmID,stint,lgID,franchID,confID,divID,rank,playoff,seeded,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won_y,lost_y,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,powerRanking
adamsmi01w,5,WAS,0,WNBA,WAS,EA,,4,Y,0,L,,,Washington Mystics,873,2088,474,661,105,283,337,726,1063,467,652,255,424,128,864,2013,510,686,146,425,336,770,1106,534,627,237,492,111,0,0,0,0,0,0,17,17,34,11,6,6,11,9,11,6850,214448,Verizon Center,-175.6850702319516
adubari99w,1,NYL,0,WNBA,NYL,EA,,1,Y,0,W,W,L,New York Liberty,792,1815,429,567,135,396,288,652,940,477,617,246,474,102,741,1822,437,590,116,420,320,647,967,462,645,223,479,94,0,0,0,0,0,0,20,12,32,12,4,8,8,14,7,6425,231962,Madison Square Garden (IV),13.71493774884516
adubari99w,2,NYL,0,WNBA,NYL,EA,,2,Y,0,W,L,,New York Liberty,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,0,0,0,0,0,0,21,11,32,13,3,8,8,13,8,6400,250565,Madison Square Garden (IV),-19.325819663626135
adubari99w,3,NYL,0,WNBA,NYL,EA,,1,Y,0,W,W,L,New York Liberty,772,1740,400,567,145,400,260,610,870,496,638,261,458,100,691,1733,484,645,149,434,312,649,961,410,597,228,478,88,0,0,0,0,0,0,18,14,32,10,6,8,8,11,10,6450,234717,Madison Square Garden (IV),-23.13469126676432
adubari99w,4,NYL,0,WNBA,NYL,EA,,6,N,0,,,,New York Liberty,825,1923,412,537,181,500,271,686,957,527,587,262,470,128,821,1959,459,581,155,467,326,736,1062,506,614,269,480,96,0,0,0,0,0,0,16,18,34,11,6,5,12,11,13,6850,212346,Madison Square Garden (IV),-124.59679433465863
adubari99w,5,NYL,1,WNBA,NYL,EA,,2,Y,0,W,L,,New York Liberty,819,1932,398,531,216,617,263,741,1004,539,587,209,506,124,867,2096,431,579,132,416,371,730,1101,517,589,288,430,123,0,0,0,0,0,0,18,16,34,11,6,7,10,10,10,6900,168062,Madison Square Garden (IV),-158.41544275590013
coylepa99w,5,NYL,2,WNBA,NYL,EA,,2,Y,0,W,L,,New York Liberty,819,1932,398,531,216,617,263,741,1004,539,587,209,506,124,867,2096,431,579,132,416,371,730,1101,517,589,288,430,123,0,0,0,0,0,0,18,16,34,11,6,7,10,10,10,6900,168062,Madison Square Garden (IV),-152.62840571886318
adubari99w,6,WAS,0,WNBA,WAS,EA,,5,N,0,,,,Washington Mystics,847,1968,388,546,181,510,266,677,943,517,697,260,435,76,833,1872,489,648,150,433,267,757,1024,545,638,205,504,108,0,0,0,0,0,0,16,18,34,10,7,6,11,9,11,6900,171501,Verizon Center,-155.10970218778084
adubari99w,7,WAS,0,WNBA,WAS,EA,,4,Y,0,L,,,Washington Mystics,1016,2199,528,715,187,522,330,770,1100,576,784,306,541,113,909,2102,635,851,204,553,321,720,1041,583,687,252,573,89,0,0,0,0,0,0,18,16,34,13,4,5,12,12,8,6850,133255,Verizon Center,-56.225744641533765
adubari99w,8,WAS,1,WNBA,WAS,EA,,5,N,0,,,,Washington Mystics,877,2170,668,839,163,528,335,783,1118,472,763,282,571,133,924,2216,616,801,175,520,383,825,1208,549,762,256,579,103,0,0,0,0,0,0,16,18,34,8,9,8,9,8,12,6900,133255,Verizon Center,-206.3160399100193
rollitr01w,8,WAS,2,WNBA,WAS,EA,,5,N,0,,,,Washington Mystics,877,2170,668,839,163,528,335,783,1118,472,763,282,571,133,924,2216,616,801,175,520,383,825,1208,549,762,256,579,103,0,0,0,0,0,0,16,18,34,8,9,8,9,8,12,6900,133255,Verizon Center,-188.53826213224147
aglerbr99w,1,MIN,0,WNBA,MIN,WE,,6,N,0,,,,Minnesota Lynx,770,1831,449,592,204,571,258,612,870,495,690,237,497,63,755,1758,514,702,164,481,300,677,977,472,707,275,547,130,0,0,0,0,0,0,15,17,32,8,8,7,9,5,16,6425,116638,Target Center,-102.97616753578177
