tmID,year,average_powerRanking,average_PER,average_postPowerRanking,average_postPER,coachesPowerRanking,powerRanking2,playersAwards,playoff
ATL,9,29.633308946286974,9.870027263660058,0.0,0.0,-78.57142857142857,-56.18412232616858,0.0,Y
CHA,1,28.82943895813428,8.725966963921225,0.0,0.0,-35.714285714285715,14.69325896317472,0.0,Y
CHA,2,29.147917552413464,7.990033589190065,24.449714812085848,5.867398141647382,42.14285714285717,210.7733565833876,0.0,Y
CHA,3,26.4090792266685,11.487740829559982,15.644126526599376,3.313530161628945,13.57142857142859,173.1859350129838,0.0,Y
CHA,4,32.75454323231057,10.40823807357246,17.06861542887565,10.07176367584918,6.428571428571445,153.175325945148,0.0,N
CHA,5,26.39365555395756,7.247156039179176,0.0,0.0,28.57142857142857,105.19185119986209,0.0,N
CHA,6,26.01683862374896,7.128334732251512,0.0,0.0,-37.07983193277312,-24.16456610350572,0.0,N
CHI,7,27.72630147641636,8.537364073533395,0.0,0.0,-69.64285714285714,-59.61310465629629,0.0,N
CHI,8,28.847561513182686,9.83082264942592,0.0,0.0,10.714285714285708,76.6274548376889,1.0,N
CHI,9,29.013699201754296,7.481467040455503,0.0,0.0,-7.142857142857153,116.75531060831176,0.0,N
CLE,1,28.833835950940266,9.6283599192257,21.04121736935686,12.63610950447112,36.07142857142856,168.32151576138867,0.0,Y
CLE,2,26.22791873688178,11.024104730286586,16.06351156063422,5.296164735272898,116.42857142857144,267.9162049360989,0.0,N
CLE,3,27.848554355424103,7.51772044814785,0.0,0.0,-17.85714285714286,81.96303641147853,0.0,Y
CON,4,31.59996258652286,10.070434021888694,22.835506186903903,11.364338575243908,40.71428571428572,159.76098616404045,0.0,Y
CON,5,32.51433230000006,10.762642349225992,25.858536558481468,10.503920381327502,72.14285714285717,172.80567623057283,1.0,Y
CON,6,29.488240304472257,8.956277487641835,24.53631868445306,7.332336680685207,143.57142857142856,315.0709534030018,0.0,Y
CON,7,28.330562818338738,11.786970696853228,18.954313382198468,6.116873700850775,179.28571428571428,334.9128057295151,0.0,Y
CON,8,29.878453690761877,1.8999904254760975,21.435737363515905,9.161316519135116,23.571428571428584,192.6363806703289,0.0,Y
CON,9,29.351423380082245,12.481340389296967,16.999887762198018,6.125658452443092,100.35714285714286,222.21984183432144,0.0,N
DET,1,28.431986916261376,12.042754718292246,0.0,0.0,17.85714285714286,76.62165262486408,0.0,N
DET,2,29.946187502208275,9.085290857034185,0.0,0.0,-17.85714285714286,35.61134666795288,0.0,N
DET,3,26.2739190211644,7.284692718424095,0.0,0.0,-2.790178571428564,59.39505835971264,0.0,Y
DET,4,28.11827638853829,9.88277129448004,22.87474543232956,7.5963358653359965,221.78571428571428,324.61423335393374,2.0,Y
DET,5,24.74939728019131,6.997348749247387,15.792339121023558,5.923568339153037,14.642857142857125,162.05338023265776,0.0,Y
DET,6,28.274844915825543,8.248915993463493,9.526135469867102,4.498961266427309,-11.42857142857143,149.46825145623123,0.0,Y
DET,7,27.85514891606982,8.211901954136799,23.1520396484483,6.600321853924148,151.07142857142856,286.55185055167755,1.0,Y
DET,8,25.90833634603484,6.618980325815428,22.26115648276843,9.427424731782484,102.85714285714285,290.95322067026893,1.0,Y
DET,9,25.068800688934576,8.069677683742764,16.276502930629274,5.4927572577925785,162.14285714285714,274.68695564554275,1.0,Y
HOU,1,31.1795923782503,11.518912801462882,22.36358878515796,6.898817303035526,236.78571428571428,374.23366707593885,3.0,Y
HOU,2,29.885653737722976,8.526216619128405,18.73703671029151,6.353106123981849,22.500000000000007,203.2269893336252,1.0,Y
HOU,3,27.464981723284744,8.249306448663974,16.895580069069787,5.910960989717552,84.28571428571426,311.69556744339303,2.0,Y
HOU,4,30.965809915463197,8.20689248915394,18.300800891210457,2.3675660379922125,41.428571428571416,208.21415311137565,2.0,N
HOU,5,28.820974669686464,7.113159385560835,0.0,0.0,1.7857142857142776,99.1794892601108,0.0,Y
HOU,6,27.46530024773856,7.608617804894754,18.45271400503172,11.660096571636569,29.64285714285714,161.4199012411643,1.0,Y
HOU,7,29.734814074789558,8.854695180528422,17.3568051368824,7.130383127844142,6.428571428571445,195.81689979025265,0.0,N
HOU,8,29.9602134914008,8.853869942681165,0.0,0.0,1.7857142857142776,109.49034055187504,0.0,N
IND,1,24.56144216717452,5.594198110096784,0.0,0.0,-26.78571428571428,95.72649341802924,0.0,N
IND,2,29.90135416581737,10.13117299052103,0.0,0.0,-17.85714285714286,52.8215668027311,0.0,Y
IND,3,29.92105239035252,8.48114675842747,16.489691121051614,8.610214049451315,12.857142857142849,122.0946367321055,1.0,N
IND,4,29.174524367039755,9.609884616250955,0.0,0.0,28.57142857142857,115.97075572790872,0.0,N
IND,5,30.51112528556364,8.40171999893442,0.0,0.0,19.64285714285716,123.30637733429508,1.0,Y
IND,6,29.67848621905661,9.046294982353254,18.493892825675648,6.118919919584909,67.5,202.1957463087836,1.0,Y
IND,7,30.30076855921112,9.500392614091163,9.025300399361294,5.7744758475661335,33.21428571428572,199.4602278825804,1.0,Y
