year,tmID,confID,rank,firstRound,semis,finals,o_dreb,powerRanking2,offensiveFieldGoalPercentage,offensiveThreePointPercentage,offensiveReboundsPerGame,offensiveAssistsPerGame,offensivePersonalFoulsPerGame,offensiveBlocksPerGame,offensivePointsPerGame,defensiveFieldGoalPercentage,defensiveThreePointPercentage,defensiveReboundsPerGame,defensiveAssistsPerGame,defensiveBlocksPerGame,defensivePointsPerGame,winPercentage,homeWinPercentage,awayWinPercentage,conferenceWinPercentage,attendance,playoff
9,ATL,EA,7,0,0,0,737,-56.18412232616858,29.943080030268582,50.40108632785976,50.046697798532335,28.897161470451373,96.05650382577986,50.356394129979044,49.02161663763959,86.42922314593376,53.88662352382225,72.96932017840247,100.0,44.853997127812356,86.5635359116022,0.0,0.0,15.609756097560975,0.0,41.53927044374559,Y
1,CHA,EA,8,0,0,0,630,14.69325896317472,58.62838175591689,51.6576415131092,32.20813875917277,63.680781758957636,83.99058269570335,19.245283018867926,31.697571970085033,92.8634981623108,40.594541703906735,26.882011082578728,81.32474701011961,42.31689803733844,60.204419889502766,17.475728155339805,26.953125,17.073170731707314,17.159763313609464,16.53158202795607,Y
2,CHA,EA,4,10,10,5,639,210.77335658338757,51.44569355869686,66.0002810765231,35.15677118078718,30.45602605863192,47.9693937610359,36.35220125786164,20.289929310521458,24.858571940434636,26.564631961270823,8.730909582375997,21.504139834406626,43.13068453805649,20.75690607734807,58.7378640776699,66.796875,50.24390243902439,76.33136094674556,23.75472465550937,Y
3,CHA,EA,2,5,0,0,653,173.1859350129838,61.91337133386965,100.0,36.74449633088725,41.926477431363416,61.97763390229547,29.937106918239,36.4870402622682,64.12658983937386,65.96944378439822,9.649952696310311,39.48942042318308,26.0411680229775,32.40331491712708,58.7378640776699,66.796875,50.24390243902439,58.57988165680472,24.322675370284024,Y
4,CHA,EA,2,5,0,0,629,153.175325945148,50.77727728784821,69.34890417533198,27.418278852568374,31.50302466263377,64.97939964685109,32.24318658280922,23.04067206228869,46.58419673176537,50.996668396628564,17.177997026625217,28.97884084636615,21.876495931067492,26.09944751381217,54.36893203883496,75.0,31.21951219512195,49.70414201183432,30.96497058560927,N
5,CHA,EA,5,0,0,0,616,105.19185119986207,59.08638829497307,69.31216931216927,6.284189459639768,4.327594229874358,49.59780262899744,44.989517819706506,12.795820100399553,45.113920427284945,78.10786713496137,14.79929720232463,38.17847286108555,29.53566299664912,23.71270718232045,46.60194174757281,56.25,39.02439024390244,37.27810650887574,29.140583922778546,N
6,CHA,EA,6,0,0,0,609,-24.16456610350572,36.74040239400922,56.5208702820173,17.598398932621752,29.26942764076314,74.39670394349618,30.901467505241097,13.041696547484886,87.43892047345778,72.66468052269292,27.557778078118677,30.818767249310024,54.04499760651029,38.475138121546955,7.76699029126214,25.0,0.0,12.42603550295858,20.04890824495789,N
7,CHI,EA,7,0,0,0,680,-59.61310465629629,28.15940490409724,14.832790932555277,41.50767178118745,35.22568636575151,57.759466352756526,38.9517819706499,31.64634771027559,89.19071204417199,78.6281612047269,67.34693877551018,77.55289788408464,34.13116323599809,69.5911602209945,3.8834951456310702,12.5,7.804878048780487,12.42603550295858,0.0,N
8,CHI,EA,6,0,0,0,782,76.6274548376889,39.27695044617412,53.66541353383462,68.83255503669112,67.98510935318751,45.20306062389643,30.230607966457022,48.283987296383565,62.72722783529371,86.25387665801762,64.31950263549129,63.20147194112236,47.91766395404499,62.8729281767956,38.83495145631068,31.25,54.634146341463406,24.85207100591716,4.4255513338161325,N
9,CHI,EA,5,0,0,0,770,116.75531060831175,59.95314507497519,38.34586466165414,60.72048032021347,49.744067007910644,46.77261134000391,55.05241090146752,43.940170064542556,47.621236341645016,47.41119981941336,50.26354912826058,43.698252069917196,37.194830062230736,53.9447513812155,31.067961165048548,43.74999999999999,23.41463414634146,49.70414201183432,2.237577008164602,N
1,CLE,EA,2,10,5,0,603,168.32151576138867,73.63539804966699,57.25185198869406,31.98132088058705,58.93438808748254,61.97763390229547,19.958071278825997,31.61049072840897,74.48782269946776,38.265500437119684,0.0,59.4296228150874,19.530876017233126,31.37016574585636,54.61165048543689,80.078125,25.36585365853658,64.49704142011834,39.631055247467785,Y
2,CLE,EA,1,5,0,0,662,267.9162049360989,62.770205291816396,33.46201324206039,37.65176784523015,44.69520707305723,23.621738277418086,14.255765199161427,15.848785985042516,6.3676039948049805,32.731736171882694,4.13569401270442,17.98528058877645,45.57204404021063,0.0,75.24271844660194,86.71875,58.536585365853654,76.33136094674556,44.51245523357903,N
3,CLE,EA,7,0,0,0,674,81.96303641147853,50.00916328390318,39.09774436090225,39.919946631087385,35.597952536063275,35.295271728467725,14.255765199161427,21.683229177338383,68.76902293331591,50.025122531592736,10.33923503176105,55.51977920883166,30.923887027285783,33.060773480662995,25.728155339805824,20.312499999999996,41.951219512195124,28.99408284023668,45.36115713137767,Y
4,CON,EA,3,10,5,0,762,159.76098616404045,43.818013722134104,38.20617116561896,53.88925950633753,39.32061423918102,54.30645477731999,29.559748427672954,36.727794283372624,41.151556605605144,36.258880790156326,54.15596702257063,51.7939282428703,9.621828626136912,45.01657458563538,54.36893203883496,56.25,54.634146341463406,44.5266272189349,22.221009712205237,Y
5,CON,EA,1,10,10,5,724,172.80567623057283,59.0200135827424,35.55408864774357,43.21547698465642,58.678455095393204,37.66921718658034,19.496855345911957,32.71181231431204,63.33216314797699,82.25350885924748,29.28774158670091,56.2097516099356,28.769746290090957,35.73480662983427,54.36893203883496,56.25,54.634146341463406,74.55621301775147,27.9669844545193,Y
6,CON,EA,1,10,10,10,788,315.0709534030018,82.89141769278552,58.90665000302368,57.09139426284189,59.05072126570495,42.06395919168136,42.30607966457024,44.10408769593279,26.112295664534425,23.366514035436975,32.53142316529261,30.45078196872125,2.7285782671134564,30.430939226519342,85.43689320388349,81.24999999999999,85.85365853658537,68.34319526627219,31.898989097330382,Y
7,CON,EA,1,10,5,0,926,334.9128057295151,74.18460046763438,53.08270676691728,90.82054703135424,80.26989297347605,12.556405728860106,57.73584905660378,61.23348017621143,31.4078736567481,36.23505104864081,48.74983105825113,42.594296228150874,21.110579224509333,45.72375690607737,85.43689320388349,81.24999999999999,85.85365853658537,80.76923076923076,33.95849247527306,Y
8,CON,EA,3,5,0,0,868,192.63638067032892,61.91337133386965,52.87081339712915,81.00066711140757,76.17496510004653,47.40043162644692,59.74842767295597,60.57780965065053,53.3747115229115,53.59347003782597,54.37221246114342,62.09751609935604,7.324078506462422,61.281767955801115,54.36893203883496,43.74999999999999,70.24390243902438,49.70414201183432,38.61816847055089,Y
9,CON,EA,2,5,0,0,869,222.21984183432144,54.31515739263282,44.49801634130169,84.62975316877915,71.70777105630522,43.63350990778889,20.167714884696018,61.80719188607726,49.78641679610057,35.990411847437244,58.913366671171794,52.16191352345905,21.876495931067492,56.685082872928184,66.01941747572816,75.0,54.634146341463406,68.34319526627219,35.87067588615192,N
1,DET,EA,5,0,0,0,644,76.62165262486408,69.68503898495794,3.32424467762815,43.54903268845896,44.69520707305723,79.98822836962918,17.819706498951785,44.324352013113405,98.23290099684854,72.51032347973515,22.516556291390728,48.873045078196874,62.66156055528962,59.922651933701665,42.23300970873786,46.87499999999999,41.951219512195124,46.745562130177504,24.629715975039932,N
2,DET,EA,7,0,0,0,621,35.61134666795288,37.52935915084174,62.52111760883688,34.476317545030014,31.247091670544435,46.96880517951736,13.542976939203355,24.469828910972232,100.0,78.94860114063539,24.814164076226515,19.549218031278752,30.923887027285783,45.17679558011051,25.728155339805824,33.59374999999999,25.36585365853658,28.99408284023668,25.651035207984048,N
3,DET,EA,8,0,0,0,719,59.39505835971264,32.58946038255487,22.192844749235725,64.86991327551699,34.80688692415076,49.30351186972729,49.182389937106926,25.427722569408868,48.87742949091552,40.90338803918079,25.273685633193676,30.105795768169273,55.33748204882719,44.8950276243094,21.601941747572813,40.23437499999999,8.780487804878048,23.076923076923073,18.122836082975365,Y
4,DET,EA,1,10,10,10,851,324.61423335393374,80.76706143588684,89.39453897902652,82.70847231487659,48.627268496975354,36.09966647047281,61.09014675052412,50.57883413584674,27.143945969833073,17.362204101429153,29.503987025273677,33.762649494020245,41.02441359502154,43.77900552486187,81.55339805825243,75.0,85.85365853658537,80.76923076923076,37.703991031835,Y
5,DET,EA,3,5,0,0,773,162.05338023265776,49.25572994097781,17.796884555887313,69.89993328885924,55.70032573289904,49.59780262899744,54.38155136268343,35.25253560086058,40.306295525533216,66.63621263389156,27.557778078118677,37.810487580496776,42.55624700813787,42.54143646408841,50.48543689320388,43.74999999999999,62.4390243902439,55.91715976331362,51.20236902411682,Y
6,DET,EA,4,5,0,0,803,149.46825145623123,36.59230614994605,35.76799140708913,79.50633755837222,22.196370404839456,85.06964881302727,59.07756813417191,25.499436533142106,32.42220772742967,49.90412523444784,19.5566968509258,22.355105795768175,46.38583054092867,34.23204419889503,46.60194174757281,68.75000000000001,23.41463414634146,55.91715976331362,50.45634467912025,Y
7,DET,EA,2,10,10,10,880,286.55185055167755,46.586500750108264,43.03875631106756,94.6631087391594,58.678455095393204,69.37414165195212,47.0020964360587,48.4479049277738,14.997033792989626,28.997733420916184,33.82889579672929,22.72309107635695,24.94016275730014,42.806629834254174,73.78640776699031,81.24999999999999,62.4390243902439,74.55621301775147,50.50445928115792,Y
8,DET,EA,1,10,10,5,931,290.95322067026893,61.65862146138157,65.9919028340081,100.0,55.32805956258724,66.54895036295862,33.584905660377366,62.38090359594304,23.859412972829524,45.903597549632345,34.9101229895932,49.21803127874885,31.833413116323605,56.59668508287293,77.66990291262137,68.75000000000001,85.85365853658537,74.55621301775147,53.621987877104395,Y
9,DET,EA,1,10,10,10,843,274.68695564554275,56.458677105263,62.406015037593995,86.55103402268175,70.59097254536994,73.45497351383166,34.25576519916143,60.331933203565214,35.08666021722845,59.07462038260363,34.045141235302054,39.65041398344067,33.36524652943992,55.00552486187845,69.90291262135922,81.24999999999999,54.634146341463406,86.98224852071004,52.099681550778264,Y
1,HOU,WE,2,10,10,10,724,374.23366707593885,100.0,60.3172901704363,46.27084723148765,41.1354118194509,30.959387875220717,29.22431865828092,56.86405081446573,35.294360850140706,16.594669305881904,6.663062576023787,33.233670653173874,11.393011010052657,26.110497237569064,95.87378640776699,86.71875,100.0,88.16568047337277,68.6709457247448,Y
2,HOU,WE,4,5,0,0,710,203.22698933362517,25.34696401572939,34.114596836919894,60.1067378252168,14.239181014425311,15.950559152442612,22.809224318658284,19.593279377113,20.768241415835003,46.34680469838736,25.0439248547101,25.0229990800368,39.875538535184305,19.348066298342545,62.864077669902905,66.796875,58.536585365853654,64.49704142011834,61.24939236713921,Y
3,HOU,WE,2,5,0,0,702,311.69556744339303,56.6795892158001,42.888848627593035,47.178118745830545,23.731968357375518,1.9423190111830455,44.905660377358494,21.770310419014443,0.0,26.443268938343746,22.976077848357885,22.67709291628335,0.0,9.767955801104975,83.49514563106796,86.71875,75.12195121951218,82.24852071005917,64.9859624408488,Y
4,HOU,WE,2,5,0,0,764,208.21415311137565,63.78880387659568,47.63507606224866,40.013342228152084,18.84597487203349,0.0,41.63522012578616,25.253560086056755,35.68522438365604,50.13179374875574,16.96175158805245,38.17847286108555,35.66299664911441,21.41436464088398,62.135922330097095,81.24999999999999,39.02439024390244,60.05917159763313,45.91621114869892,N
5,HOU,WE,6,0,0,0,724,99.17948926011081,45.513703656055185,54.98382828579832,41.0807204803202,13.63424848766869,20.40415930939769,26.876310272536685,19.762319434484173,46.56847863847046,60.051505012426674,27.557778078118677,46.64213431462743,41.02441359502154,27.513812154696144,34.95145631067961,50.0,23.41463414634146,27.11135018827326,39.59286118193272,Y
6,HOU,WE,3,10,5,0,684,161.4199012411643,78.70205499376911,22.384008802494034,25.07004669779852,19.590507212657034,28.56582303315677,25.53459119496856,30.5808831062391,70.66777871526055,59.768751685509066,7.230706852277341,47.37810487580497,27.23791287697463,32.11049723756908,58.252427184466015,62.499999999999986,54.634146341463406,49.70414201183432,31.27002708306465,Y
7,HOU,WE,3,5,0,0,822,195.81689979025262,73.41391742889485,66.45533324837518,60.2935290193462,43.78780828292228,39.86658818913087,11.446540880503148,46.80872861387152,47.06715432458527,18.0029926852607,42.478713339640514,41.85832566697332,10.38774533269507,48.55248618784532,54.36893203883496,68.75000000000001,39.02439024390244,55.91715976331362,36.185652920109916,N
8,HOU,WE,5,0,0,0,770,109.49034055187505,57.76264532372486,56.275620558244924,64.34956637758505,53.46672871102835,51.795173631547975,28.21802935010483,47.05460506095688,54.16371638562772,57.9800388094284,29.28774158670091,64.67341306347745,64.76783149832457,64.37569060773482,34.95145631067961,37.49999999999999,39.02439024390244,44.05594405594405,40.267953690935606,N
1,IND,EA,7,0,0,0,647,95.72649341802924,64.66765103709955,76.27465977804397,31.527685123415605,43.90414146114471,60.30998626643124,44.905660377358494,34.04876549533859,85.59406282012678,22.936058377274552,18.610623057169885,54.7378104875805,3.2551460028721877,47.14917127071824,21.601941747572813,26.953125,25.36585365853658,28.99408284023668,60.830249699903774,N
2,IND,EA,6,0,0,0,649,52.8215668027311,50.61388723651509,61.67436528541086,32.20813875917277,26.89623080502559,46.30174612517167,39.20335429769392,28.82389099477512,85.6406005227872,65.5001163584839,21.367752398972833,69.20423183072677,56.15126854954524,43.298342541436476,25.728155339805824,40.23437499999999,17.073170731707314,28.99408284023668,40.32053253439946,Y
3,IND,EA,4,5,0,0,633,122.0946367321055,33.89641000991563,45.40771819050385,35.15677118078718,22.54536993950674,32.62703551108495,26.373165618448642,23.947341460915887,77.91029212192953,59.16542525074312,13.555885930531153,46.52713891444342,60.22020105313548,32.02762430939227,50.48543689320388,60.15625,41.951219512195124,58.57988165680472,38.347833850854656,N
4,IND,EA,5,0,0,0,654,115.97075572790871,49.65251782508485,60.07518796992481,31.04736490993995,46.393671475104696,55.87600549342751,36.268343815513624,32.87572994570228,73.51376187582446,78.45563614026311,12.636842816596838,58.049678012879504,72.42699856390618,37.23756906077349,46.60194174757281,62.499999999999986,31.21951219512195,49.70414201183432,41.73718514697275,N
5,IND,EA,6,0,0,0,705,123.30637733429509,27.075309649457154,56.2033983086615,55.17011340893928,52.34993020009306,46.77261134000391,44.989517819706506,21.48345456408153,64.76306207076645,54.79544097153094,8.960670360859575,37.442502299908,66.29966491144089,30.519337016574593,42.71844660194174,56.25,31.21951219512195,37.27810650887574,35.39349808037618,Y
6,IND,EA,2,10,5,0,671,202.19574630878358,33.764585897100716,36.707152496626186,36.170780520346895,29.26942764076314,55.87600549342751,18.825995807127878,19.18860772461837,64.68835495842015,47.8201363645487,13.501824570887955,8.371665133394673,28.769746290090957,20.61878453038674,66.01941747572816,81.24999999999999,46.82926829268292,74.55621301775147,42.09234035376633,Y
7,IND,EA,3,5,0,0,755,199.4602278825804,40.172293002970854,28.64920922997149,53.675783855903944,32.24755700325731,36.41357661369434,17.48427672955975,40.90769388382339,66.04257482200249,26.252750859559537,28.855250709555353,34.86660533578657,22.642412637625664,36.79558011049727,66.01941747572816,68.75000000000001,62.4390243902439,62.1301775147929,32.30771520123808,Y
8,IND,EA,2,10,5,0,812,225.75959272430964,50.925329207390355,55.57575256823376,66.27084723148766,35.97021870637505,48.96998234255444,46.331236897274636,44.59584059010346,31.07292962769704,41.30910853551924,51.12853088255169,23.091076356945724,29.53566299664912,41.569060773480665,66.01941747572816,68.75000000000001,62.4390243902439,62.1301775147929,37.83692622097003,Y
9,IND,EA,4,5,0,0,778,151.98956217954472,35.28812745060932,53.251709333757326,60.72048032021347,31.87529083294554,74.39670394349618,65.78616352201257,44.02212888023767,50.679680064527766,39.83219359620443,52.64224895256113,23.827046918123276,41.79033030157971,49.259668508287305,50.48543689320388,62.499999999999986,39.02439024390244,62.1301775147929,36.36174244303132,Y
1,LAS,WE,1,10,5,0,783,360.2784887966689,71.38784199186297,45.69831658793,67.59172781854568,77.5244299674267,81.32234647832058,66.28930817610063,51.813338797254374,23.45044757711298,15.579858076576528,24.12488174077578,22.286108555657773,27.668741024413595,35.784530386740336,100.0,93.359375,100.0,88.16568047337277,23.496790706441402,Y
2,LAS,WE,1,10,10,10,755,376.7326290436495,81.62740089976477,73.52555701179554,70.7671781187458,81.47975802698927,51.63821855993722,53.459119496855344,53.90328859747976,20.137242990931586,34.2412960085101,11.028517367211785,58.64765409383625,34.99281953087602,35.502762430939235,100.0,100.0,91.70731707317074,100.0,45.044692016944275,Y
3,LAS,WE,1,10,10,10,814,350.24487612757514,75.9951784173666,81.23366669099936,79.38625750500333,76.33783154955792,67.64763586423386,69.85324947589099,54.8611822559164,17.542935477411735,29.741423616431597,19.759426949587784,46.918123275069,32.55146002872188,41.98342541436465,87.62135922330097,73.4375,100.0,88.16568047337277,63.87585440620629,Y
4,LAS,WE,1,10,10,5,813,257.2461997300492,50.17430805297566,43.86534518113464,65.41694462975317,64.2624476500698,60.27074749852854,63.10272536687632,46.153058088310615,32.732386409579306,70.37848120866236,38.370050006757666,58.78564857405705,39.492580181905225,47.04972375690609,77.66990291262137,62.499999999999986,93.65853658536585,75.59171597633136,49.750994533784386,Y
5,LAS,WE,1,5,0,0,809,287.2982154450997,68.30613131021033,83.23707820275325,59.43962641761171,78.7808282922289,75.65234451638219,54.38155136268343,45.82522282553015,16.186933689797495,52.16660894133558,29.936477902419234,44.06623735050598,29.53566299664912,40.773480662983424,81.55339805825243,87.5,70.24390243902438,77.94513179128563,59.34167319768653,Y
6,LAS,WE,4,5,0,0,683,137.88749089435925,59.41095955256272,36.6283926871442,34.46297531687792,50.860865518845976,77.53580537571119,46.331236897274636,31.97418297305602,50.119157878664275,60.4115864710194,24.53034193809974,56.945722171113154,30.301579703207278,39.35911602209945,50.48543689320388,62.499999999999986,39.02439024390244,55.352339967724575,46.07394767909049,Y
7,LAS,WE,1,10,5,0,852,272.87682000156826,69.57621832380671,16.03677629085979,76.73115410273513,72.82456956724057,59.32901706886402,41.63522012578616,52.381928081139215,28.543804977426348,54.88437398493248,33.39640491958373,56.2097516099356,40.25849688846338,50.93922651933703,81.55339805825243,87.5,70.24390243902438,80.76923076923076,41.49115584170792,N
8,LAS,WE,7,0,0,0,783,46.398379695000656,40.764680676770844,60.77034691993137,63.28218812541693,51.977664029781266,75.9662546596037,26.876310272536685,48.939657821944465,64.97629867224263,64.47125346311992,54.37221246114342,74.9770009199632,47.15174724748684,71.4475138121547,23.300970873786408,25.0,31.21951219512195,21.463152232382996,44.72921895616115,Y
9,LAS,WE,3,10,5,0,896,238.75891202364681,56.436309375631666,29.43802805984032,93.80920613742491,73.94136807817591,70.00196193839511,100.0,54.26698084212681,10.869711592413868,50.30082825583667,43.12744965535884,37.074517019319224,50.2154140737195,55.0939226519337,62.135922330097095,68.75000000000001,54.634146341463406,62.1301775147929,51.58877392089364,Y
1,MIA,EA,6,0,0,0,595,57.092794929463324,0.0,0.0,37.87858572381587,9.888320148906466,81.98940553266627,17.819706498951785,0.78373117508452,59.58169209223318,77.24467449731236,11.488038924178943,10.9475620975161,38.24796553374821,20.005524861878456,38.10679611650485,53.515625,25.36585365853658,40.8284023668639,34.76453606611046,Y
2,MIA,EA,3,5,0,0,651,239.95457591470787,45.60321022512974,32.53982413661273,34.022681787858566,30.45602605863192,46.96880517951736,64.15094339622642,11.755967626267799,21.49932260892334,22.391177797322193,21.82727395593999,0.0,13.02058401148875,10.331491712707184,66.99029126213593,60.15625,75.12195121951218,70.41420118343194,41.70692751063977,N
1,MIN,WE,6,0,0,0,612,93.4768732790598,52.80219866252993,65.83490249265897,17.46497665110073,41.53094462540716,76.31940357072787,0.0,32.307140661817435,62.876831935168674,52.52959049494983,23.8951209622922,32.8426862925483,48.01340354236477,37.569060773480665,46.359223300970875,46.87499999999999,50.24390243902439,17.159763313609464,29.267070763186876,N
2,MIN,WE,6,0,0,0,693,90.3876045687267,5.680754263968538,35.38193309360354,47.178118745830545,18.590041879944156,77.98705120659211,45.61844863731657,22.205716627394732,17.598145345161207,38.900549000023624,32.85579132315178,48.09107635694572,44.75825753949258,34.563535911602216,33.980582524271846,33.59374999999999,41.951219512195124,40.8284023668639,31.235801232130633,N
3,MIN,WE,8,0,0,0,650,58.09707429867827,42.43735087431034,45.810526315789495,37.65176784523015,30.060493252675656,51.97174808711006,27.798742138364783,15.761704743366456,44.321615642406606,69.9769236320125,9.420191917826733,41.835326586936525,37.43417903303016,29.67955801104973,25.728155339805824,40.23437499999999,17.073170731707314,23.076923076923073,40.79275007192389,Y
4,MIN,WE,4,5,0,0,718,180.12868097738388,73.45175448923794,54.933134362624145,50.47364909939959,61.65658445788738,45.20306062389643,22.85115303983229,36.39995902059215,57.4566249038969,32.40466053463486,13.285579132315187,42.594296228150874,38.72666347534706,41.569060773480665,54.36893203883496,62.499999999999986,46.82926829268292,60.05917159763313,31.06020773603436,Y
5,MIN,WE,3,5,0,0,724,168.61683538868755,36.86297499638474,41.50597896956416,45.56370913942627,41.55421126105164,53.36472434765547,48.34381551362683,18.77881364614282,37.75926601645342,2.10667294083581,23.44911474523583,35.23459061637535,44.08808042125419,25.6574585635359,54.36893203883496,62.499999999999986,46.82926829268292,55.352339967724575,33.46296167696749,N
6,MIN,WE,6,0,0,0,715,105.18761730981183,44.363280859222584,59.75304113943396,38.945963975983986,43.4155421126105,42.06395919168136,40.29350104821803,22.548919168118022,59.966181449054034,54.256166315798396,27.557778078118677,45.906163753449874,52.51316419339397,34.32044198895029,38.83495145631068,62.499999999999986,15.609756097560975,38.4077461000538,27.684249164194803,N
7,MIN,WE,7,0,0,0,804,49.20067180352593,59.30348294357886,62.62852836147648,64.34956637758505,28.524895300139598,51.481263488326455,30.901467505241097,48.12006966499332,67.97416728394597,43.85274232993175,59.778348425462916,78.2888684452622,37.194830062230736,73.83425414364642,23.300970873786408,43.74999999999999,7.804878048780487,24.85207100591716,25.73734387555679,N
8,MIN,WE,6,0,0,0,785,56.36529191103349,45.02602764302329,43.139097744360875,72.4616410940627,67.61284318287576,70.00196193839511,18.825995807127878,57.38141583854113,86.71436010213881,61.00821254766036,41.181240708203816,56.2097516099356,54.81091431306845,75.33701657458563,23.300970873786408,37.49999999999999,15.609756097560975,32.75954814416353,31.44016428408448,N
9,MIN,WE,7,0,0,0,792,129.45961283749668,62.04645418463212,37.91257805530773,64.56304202801869,53.094462540716606,81.93054738081226,42.976939203354306,68.11802069460093,73.58244340176782,44.677938274062726,61.508311934045146,64.3054277828887,49.449497367161314,72.59668508287295,46.60194174757281,50.0,46.82926829268292,37.27810650887574,30.172319719050407,N
1,NYL,EA,1,10,10,5,652,262.09356389090317,67.77414817514361,52.87081339712915,33.34222815210139,34.4113541181945,51.97174808711006,27.798742138364783,28.388484786394834,36.59100649045484,0.0,21.597513177456413,28.93284268629255,18.71708951651508,23.198895027624314,66.99029126213593,73.4375,58.536585365853654,70.41420118343194,86.47086834456007,Y
2,NYL,EA,2,10,5,0,660,253.08839633325564,86.05409762329592,83.8872716232386,27.6717811874583,64.47184737087017,51.63821855993722,13.542976939203355,29.607622169859642,55.37563074784957,49.77772298189747,25.273685633193676,16.42134314627415,4.068932503590235,27.613259668508295,71.11650485436894,80.078125,58.536585365853654,64.49704142011834,95.69845537246654,Y
3,NYL,EA,1,10,10,5,610,214.63441084820167,74.69289076240221,69.9812030075188,17.46497665110073,41.926477431363416,58.97586815773984,26.373165618448642,23.250691527507424,27.395427877770253,54.44503670213793,20.21894850655494,8.60165593376265,13.834370512206798,21.320441988950282,58.7378640776699,60.15625,58.536585365853654,52.662721893491124,87.83742224779516,N
4,NYL,EA,6,0,0,0,686,163.92289610845995,60.825183311372854,69.58496240601501,24.429619746497668,41.926477431363416,30.449283892485784,40.9643605870021,25.171601270361638,50.90077139088947,45.18896161170392,29.07149614812812,34.4986200551978,15.749162278602208,31.491712707182344,46.60194174757281,62.499999999999986,31.21951219512195,44.5266272189349,76.7408061427962,Y
5,NYL,EA,2,10,5,0,741,170.62750092738685,55.99724503204909,60.139408488807156,34.46297531687792,46.393671475104696,30.449283892485784,38.280922431865825,25.909230611617655,44.61331350479419,33.348902739705025,37.50506825246655,38.54645814167433,36.42891335567257,35.116022099447534,54.36893203883496,62.499999999999986,46.82926829268292,49.70414201183432,54.774754218708146,Y
6,NYL,EA,3,5,0,0,732,178.38013396393808,76.0957694436897,55.16311439756415,28.05870580386925,31.130758492322,38.610947616244864,30.230607966457022,31.154594816104925,59.959645114388216,30.723195911870732,22.151642113799152,22.355105795768175,8.08999521302058,34.05524861878453,54.36893203883496,56.25,54.634146341463406,43.49112426035502,56.91709407644765,N
7,NYL,EA,5,0,0,0,736,32.84890808237444,30.817944760978026,48.09582094771815,38.092061374249504,22.56863657515123,57.759466352756526,30.230607966457022,35.74428849503125,85.05470544945588,76.84253302487515,53.074739829706715,35.23459061637535,44.853997127812356,66.8508287292818,27.184466019417474,37.49999999999999,23.41463414634146,31.06508875739645,48.31946111645718,Y
8,NYL,EA,4,5,0,0,788,136.40841317409402,49.331808600980104,77.61171688793195,49.6197464976651,31.87529083294554,40.18049833235236,28.21802935010483,39.10459993853088,44.85587546322653,37.625631771271486,62.15704824976347,35.602575896964126,30.301579703207278,53.149171270718256,46.60194174757281,56.25,39.02439024390244,49.70414201183432,44.75699645836847,Y
9,NYL,EA,3,10,5,0,778,172.65365212440327,52.92419966787845,73.43287396962658,56.02401601067377,50.860865518845976,51.795173631547975,33.584905660377366,52.21801044974899,60.24374804566834,66.97192912602029,53.507230706852305,30.818767249310024,25.706079463858313,56.41988950276242,58.252427184466015,62.499999999999986,54.634146341463406,55.91715976331362,47.6865308875904,N
1,ORL,EA,3,5,0,0,606,133.9323329103066,67.33317337287882,53.72038587033625,29.93995997331554,32.82922289436947,40.63174416323327,47.75681341719078,33.6133592869583,67.30304955019098,51.75393191319926,33.08555210163536,57.8656853725851,30.11010052656774,41.79558011049724,50.48543689320388,66.796875,33.65853658536585,64.49704142011834,29.848414202240058,N
2,ORL,EA,5,0,0,0,614,80.04798304205113,34.56418375630229,41.90174684832385,40.146764509673105,24.523033969288036,60.643515793604074,44.19287211740042,27.691834852986368,75.26547034295875,66.71611954870606,23.435599405325043,57.08371665133395,34.99281953087602,39.165745856353595,38.10679611650485,60.15625,17.073170731707314,40.8284023668639,30.376186744179122,N
1,PHO,WE,4,5,0,0,619,195.95017615199134,76.99419633249758,32.117094767375306,22.9086057371581,29.664960446719395,56.30763194035707,19.958071278825997,36.66120274562032,55.2589465433399,39.19795862111212,22.05703473442357,38.31646734130635,16.27573001436094,29.491712707182327,66.99029126213593,66.796875,66.82926829268293,52.662721893491124,51.30901479151993,N
2,PHO,WE,5,0,0,0,642,88.83868785355929,38.07260934192159,38.427538494799265,33.79586390927284,49.04606793857607,54.63998430449284,53.459119496855344,21.07366048560598,46.06770310016622,60.17577455724127,36.302203000405456,53.1738730450782,45.57204404021063,35.784530386740336,38.10679611650485,60.15625,17.073170731707314,34.91124260355029,39.356752413170504,N
3,PHO,WE,7,0,0,0,626,19.266336801915514,52.105652805523015,24.316889785439216,28.352234823215472,14.63471382038157,53.97292525014714,22.09643605870021,23.42485401085954,91.83032207384126,100.0,29.409379645898092,56.301747930082804,45.57204404021063,47.243093922651944,29.85436893203883,60.15625,0.4878048780487811,28.99408284023668,40.75505203321396,N
