pos,height,weight,college,age,year,stint_x,tmID,GP_x,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,pointsPerGame,assistPerGame,reboundsPerGame,defensiveReboundsPerGame,stealsPerGame,blocksPerGame,turnoversPerGame,assistToTurnoverRatio,threePointPercentage,freeThrowPercentage,fieldGoalPercentage,trueShootingPercentage,personalFoulsPerGame,franchID,confID,playoff,lost_x,GP_y,powerRanking,stint_y,won,lost_y,award
3,74.0,169.0,20,43.0,2,0.0,11,26.0,23.0,846.0,343.0,43.0,131.0,174.0,53.0,42.0,9.0,85.0,70.0,293.0,114.0,132.0,96.0,76.0,19.0,2.0,13.192307692307692,2.0384615384615383,6.6923076923076925,5.038461538461538,1.6153846153846154,0.34615384615384615,3.269230769230769,0.6235294117647059,0.25,0.7272727272727273,0.3890784982935154,0.34918618240753185,2.6923076923076925,11,2,0,20.0,32.0,41.982433085607056,0.0,12.0,20.0,0
1,77.0,199.0,104,44.0,2,0.0,11,20.0,0.0,169.0,47.0,23.0,19.0,42.0,5.0,2.0,15.0,20.0,20.0,48.0,16.0,20.0,15.0,1.0,0.0,0.0,2.35,0.25,2.1,0.95,0.1,0.75,1.0,0.25,0.0,0.75,0.3333333333333333,0.3535429517075373,1.0,11,2,0,20.0,32.0,41.982433085607056,0.0,12.0,20.0,0
6,64.0,139.0,0,48.0,2,0.0,11,4.0,1.0,72.0,21.0,1.0,3.0,4.0,11.0,3.0,0.0,3.0,4.0,15.0,7.0,4.0,4.0,6.0,3.0,0.0,5.25,2.75,1.0,0.75,0.75,0.0,0.75,3.6666666666666665,0.5,1.0,0.4666666666666667,0.4011614579353557,1.0,11,2,0,20.0,32.0,41.982433085607056,0.0,12.0,20.0,0
6,68.0,143.0,54,46.0,2,0.0,11,11.0,7.0,241.0,121.0,13.0,41.0,54.0,16.0,10.0,4.0,25.0,29.0,110.0,41.0,20.0,19.0,52.0,20.0,0.0,11.0,1.4545454545454546,4.909090909090909,3.727272727272727,0.9090909090909091,0.36363636363636365,2.272727272727273,0.64,0.38461538461538464,0.95,0.37272727272727274,0.3080134405864983,2.6363636363636362,11,2,0,20.0,32.0,41.982433085607056,0.0,12.0,20.0,0
3,76.0,172.0,107,45.0,2,0.0,11,31.0,12.0,494.0,95.0,27.0,59.0,86.0,19.0,17.0,15.0,37.0,87.0,103.0,35.0,31.0,19.0,18.0,6.0,2.0,3.064516129032258,0.6129032258064516,2.774193548387097,1.903225806451613,0.5483870967741935,0.4838709677419355,1.1935483870967742,0.5135135135135135,0.3333333333333333,0.6129032258064516,0.33980582524271846,0.3067762019168669,2.806451612903226,11,2,0,20.0,32.0,41.982433085607056,0.0,12.0,20.0,0
6,68.0,150.0,96,49.0,2,0.0,11,32.0,16.0,652.0,91.0,7.0,54.0,61.0,97.0,21.0,0.0,46.0,55.0,78.0,30.0,16.0,11.0,56.0,20.0,0.0,2.84375,3.03125,1.90625,1.6875,0.65625,0.0,1.4375,2.108695652173913,0.35714285714285715,0.6875,0.38461538461538464,0.28052479715899287,1.71875,11,2,0,20.0,32.0,41.982433085607056,0.0,12.0,20.0,0
5,74.0,180.0,48,45.0,2,0.0,11,32.0,14.0,713.0,170.0,47.0,99.0,146.0,28.0,28.0,20.0,46.0,77.0,174.0,68.0,55.0,33.0,4.0,1.0,2.0,5.3125,0.875,4.5625,3.09375,0.875,0.625,1.4375,0.6086956521739131,0.25,0.6,0.39080459770114945,0.3655442308519331,2.40625,11,2,0,20.0,32.0,41.982433085607056,0.0,12.0,20.0,0
7,72.0,160.0,24,44.0,2,0.0,11,24.0,8.0,423.0,87.0,15.0,35.0,50.0,34.0,11.0,6.0,17.0,34.0,103.0,33.0,17.0,13.0,43.0,8.0,1.0,3.625,1.4166666666666667,2.0833333333333335,1.4583333333333333,0.4583333333333333,0.25,0.7083333333333334,2.0,0.18604651162790697,0.7647058823529411,0.32038834951456313,0.24645613080871606,1.4166666666666667,11,2,0,20.0,32.0,41.982433085607056,0.0,12.0,20.0,0
7,71.0,174.0,76,49.0,2,0.0,11,32.0,32.0,1234.0,739.0,40.0,82.0,122.0,70.0,23.0,5.0,87.0,94.0,519.0,204.0,275.0,246.0,240.0,85.0,0.0,23.09375,2.1875,3.8125,2.5625,0.71875,0.15625,2.71875,0.8045977011494253,0.3541666666666667,0.8945454545454545,0.3930635838150289,0.36511857707509887,2.9375,11,2,0,20.0,32.0,41.982433085607056,0.0,12.0,20.0,0
3,71.0,208.0,49,51.0,2,0.0,11,18.0,5.0,201.0,51.0,10.0,17.0,27.0,14.0,8.0,4.0,19.0,26.0,53.0,20.0,7.0,5.0,25.0,6.0,0.0,2.8333333333333335,0.7777777777777778,1.5,0.9444444444444444,0.4444444444444444,0.2222222222222222,1.0555555555555556,0.7368421052631579,0.24,0.7142857142857143,0.37735849056603776,0.27348190729499583,1.4444444444444444,11,2,0,20.0,32.0,41.982433085607056,0.0,12.0,20.0,0
