year,tmID,franchID,confID,playoff,lost,GP,powerRanking
9,ATL,ATL,EA,N,30,34,51.51591053876953
10,ATL,ATL,EA,Y,16,34,61.6025200815064
1,CHA,CHA,EA,N,24,32,41.820000362842194
2,CHA,CHA,EA,Y,14,32,39.68503384868554
3,CHA,CHA,EA,Y,14,32,42.27158881498705
4,CHA,CHA,EA,Y,16,34,39.339174655141946
5,CHA,CHA,EA,N,18,34,34.56139983639273
6,CHA,CHA,EA,N,28,34,37.200290023935615
7,CHA,CHA,EA,N,23,34,48.6654406712871
7,CHI,CHI,EA,N,29,34,38.53054369590266
8,CHI,CHI,EA,N,20,34,48.27176405932561
9,CHI,CHI,EA,N,22,34,44.00246115885995
10,CHI,CHI,EA,N,18,34,50.75488689117547
1,CLE,CLE,EA,Y,15,32,51.80179842092677
2,CLE,CLE,EA,Y,10,32,37.7302049565564
3,CLE,CLE,EA,N,22,32,36.61162608524446
4,CLE,CLE,EA,Y,17,34,38.095314160617114
4,CON,CON,EA,Y,16,34,40.924521637030146
5,CON,CON,EA,Y,16,34,43.92453624533002
6,CON,CON,EA,Y,8,34,44.99351043541314
7,CON,CON,EA,Y,8,34,52.70838947524739
8,CON,CON,EA,Y,16,34,52.63317217867003
9,CON,CON,EA,Y,13,34,48.85473581289082
10,CON,CON,EA,N,18,34,49.05449528278501
1,DET,DET,EA,N,18,32,50.937431772726605
2,DET,DET,EA,N,22,32,40.19714212957931
3,DET,DET,EA,N,23,32,38.32711153791746
4,DET,DET,EA,Y,9,34,56.199020332091024
5,DET,DET,EA,Y,17,34,48.15859132607789
6,DET,DET,EA,Y,18,34,44.75477023258506
7,DET,DET,EA,Y,11,34,49.97477901673947
8,DET,DET,EA,Y,10,34,57.61470717753123
9,DET,DET,EA,Y,12,34,56.43752234506922
10,DET,DET,EA,Y,16,34,53.32619399763778
1,HOU,HOU,WE,Y,5,32,50.52226358924724
2,HOU,HOU,WE,Y,13,32,36.136438449225075
3,HOU,HOU,WE,Y,8,32,40.33478257471582
4,HOU,HOU,WE,Y,14,34,36.5926673409277
5,HOU,HOU,WE,N,21,34,35.75545739789811
6,HOU,HOU,WE,Y,15,34,38.01336170383715
7,HOU,HOU,WE,Y,16,34,45.56166165364584
8,HOU,HOU,WE,N,21,34,55.2978580589501
9,HOU,HOU,WE,N,17,34,55.75913869476006
1,IND,IND,EA,N,23,32,44.00142614050697
2,IND,IND,EA,N,22,32,43.03379927634026
3,IND,IND,EA,Y,16,32,41.526986691523746
4,IND,IND,EA,N,18,34,47.43979530556659
5,IND,IND,EA,N,19,34,41.147759837135254
6,IND,IND,EA,Y,13,34,41.054946278845584
7,IND,IND,EA,Y,13,34,46.94625867656017
8,IND,IND,EA,Y,13,34,51.61826225753058
9,IND,IND,EA,Y,17,34,52.92428284974448
10,IND,IND,EA,Y,12,34,57.18588878231388
1,LAS,LAS,WE,Y,4,32,53.319255390833575
2,LAS,LAS,WE,Y,4,32,55.05303294166676
3,LAS,LAS,WE,Y,7,32,57.238801706933614
4,LAS,LAS,WE,Y,10,34,51.060451790212916
5,LAS,LAS,WE,Y,9,34,55.59990727221442
6,LAS,LAS,WE,Y,17,34,45.310429402018514
7,LAS,LAS,WE,Y,9,34,54.44008289790314
8,LAS,LAS,WE,N,24,34,50.10964974894228
9,LAS,LAS,WE,Y,14,34,57.114954951043345
10,LAS,LAS,WE,Y,16,34,48.31451373790442
1,MIA,MIA,EA,N,19,32,35.44632426266749
2,MIA,MIA,EA,Y,12,32,37.87341592562544
3,MIA,MIA,EA,N,17,32,38.654678179742774
1,MIN,MIN,WE,N,17,32,45.00167247738033
2,MIN,MIN,WE,N,20,32,41.982433085607056
3,MIN,MIN,WE,N,22,32,37.05685837569838
4,MIN,MIN,WE,Y,16,34,44.72393618958416
5,MIN,MIN,WE,Y,16,34,42.98277681478176
6,MIN,MIN,WE,N,20,34,41.671933969610265
7,MIN,MIN,WE,N,24,34,43.47184180649167
8,MIN,MIN,WE,N,24,34,50.500971387230614
9,MIN,MIN,WE,N,18,34,54.729197218477985
10,MIN,MIN,WE,N,20,34,54.626489114018206
1,NYL,NYL,EA,Y,12,32,42.95152904603171
2,NYL,NYL,EA,Y,11,32,44.663350708584666
3,NYL,NYL,EA,Y,14,32,41.2043506233269
4,NYL,NYL,EA,N,18,34,42.32233582773817
5,NYL,NYL,EA,Y,16,34,40.224418933929215
6,NYL,NYL,EA,Y,16,34,37.64614277954318
7,NYL,NYL,EA,N,23,34,46.12558400630655
8,NYL,NYL,EA,Y,18,34,48.96144921246884
9,NYL,NYL,EA,Y,15,34,52.49941313655553
10,NYL,NYL,EA,N,21,34,47.621300550767195
1,ORL,CON,EA,Y,16,32,46.950282244140915
2,ORL,CON,EA,N,19,32,46.13211914627753
3,ORL,CON,EA,N,16,32,47.35209887786483
1,PHO,PHO,WE,Y,12,32,45.08407735883715
2,PHO,PHO,WE,N,19,32,46.43069897156985
3,PHO,PHO,WE,N,21,32,42.47626196644823
4,PHO,PHO,WE,N,26,34,38.88596163189722
5,PHO,PHO,WE,N,17,34,44.78237733299132
6,PHO,PHO,WE,N,18,34,44.807987520873475
