tmID,year,average_powerRanking,average_PER,average_postPowerRanking,average_postPER,coachesPowerRanking,playoff,confID,rank,firstRound,semis,finals,o_dreb,powerRanking2,offensiveFieldGoalPercentage,offensiveThreePointPercentage,offensiveReboundsPerGame,offensiveAssistsPerGame,offensivePersonalFoulsPerGame,offensiveBlocksPerGame,offensivePointsPerGame,defensiveFieldGoalPercentage,defensiveThreePointPercentage,defensiveReboundsPerGame,defensiveAssistsPerGame,defensiveBlocksPerGame,defensivePointsPerGame,winPercentage,homeWinPercentage,awayWinPercentage,conferenceWinPercentage,attendance
ATL,9,29.633308946286974,9.870027263660058,0.0,0.0,-118.57142857142856,Y,EA,7,0,0,0,737,-56.18412232616858,29.943080030268582,50.40108632785976,50.046697798532335,28.897161470451373,96.05650382577986,50.35639412997904,49.02161663763959,86.42922314593376,53.88662352382225,72.96932017840247,100.0,44.85399712781236,86.5635359116022,0.0,0.0,15.609756097560975,0.0,41.53927044374559
CHA,1,28.82943895813428,8.725966963921225,0.0,0.0,-47.142857142857146,Y,EA,8,0,0,0,630,14.69325896317472,58.62838175591689,51.6576415131092,32.20813875917277,63.68078175895764,83.99058269570335,19.245283018867926,31.697571970085036,92.8634981623108,40.594541703906735,26.882011082578728,81.32474701011961,42.31689803733844,60.204419889502766,17.475728155339805,26.953125,17.073170731707314,17.159763313609464,16.53158202795607
CHA,2,29.147917552413464,7.990033589190065,24.449714812085848,5.867398141647382,13.57142857142859,Y,EA,4,10,10,5,639,210.7733565833876,51.44569355869686,66.0002810765231,35.15677118078718,30.45602605863192,47.9693937610359,36.35220125786164,20.289929310521455,24.85857194043464,26.564631961270823,8.730909582375997,21.504139834406622,43.13068453805649,20.75690607734807,58.7378640776699,66.796875,50.24390243902439,76.33136094674556,23.75472465550937
CHA,3,26.4090792266685,11.487740829559982,15.644126526599376,3.313530161628945,13.57142857142859,Y,EA,2,5,0,0,653,173.1859350129838,61.91337133386965,100.0,36.74449633088725,41.926477431363416,61.97763390229547,29.937106918239,36.4870402622682,64.12658983937386,65.96944378439822,9.649952696310311,39.48942042318308,26.0411680229775,32.40331491712708,58.7378640776699,66.796875,50.24390243902439,58.57988165680472,24.322675370284024
CHA,4,32.75454323231057,10.40823807357246,17.06861542887565,10.07176367584918,46.428571428571445,N,EA,2,5,0,0,629,153.175325945148,50.77727728784821,69.34890417533198,27.41827885256837,31.50302466263377,64.97939964685109,32.24318658280922,23.04067206228869,46.58419673176537,50.99666839662856,17.177997026625217,28.97884084636615,21.87649593106749,26.09944751381217,54.36893203883496,75.0,31.21951219512195,49.70414201183432,30.96497058560927
CHA,5,26.39365555395756,7.247156039179176,0.0,0.0,28.57142857142857,N,EA,5,0,0,0,616,105.19185119986209,59.08638829497307,69.31216931216927,6.284189459639768,4.327594229874358,49.59780262899744,44.989517819706506,12.795820100399553,45.11392042728495,78.10786713496137,14.79929720232463,38.17847286108555,29.53566299664912,23.71270718232045,46.60194174757281,56.25,39.02439024390244,37.27810650887574,29.140583922778543
CHA,6,26.01683862374896,7.128334732251512,0.0,0.0,-1.7857142857142885,N,EA,6,0,0,0,609,-24.16456610350572,36.74040239400922,56.5208702820173,17.598398932621752,29.26942764076314,74.39670394349618,30.901467505241097,13.041696547484886,87.43892047345778,72.66468052269292,27.55777807811868,30.818767249310024,54.04499760651029,38.47513812154696,7.76699029126214,25.0,0.0,12.42603550295858,20.04890824495789
CHA,6,26.01683862374896,7.128334732251512,0.0,0.0,-51.78571428571429,N,EA,6,0,0,0,609,-24.16456610350572,36.74040239400922,56.5208702820173,17.598398932621752,29.26942764076314,74.39670394349618,30.901467505241097,13.041696547484886,87.43892047345778,72.66468052269292,27.55777807811868,30.818767249310024,54.04499760651029,38.47513812154696,7.76699029126214,25.0,0.0,12.42603550295858,20.04890824495789
CHI,7,27.72630147641636,8.537364073533395,0.0,0.0,-69.64285714285714,N,EA,7,0,0,0,680,-59.61310465629629,28.15940490409724,14.832790932555277,41.50767178118745,35.22568636575151,57.759466352756526,38.9517819706499,31.64634771027559,89.19071204417199,78.6281612047269,67.34693877551018,77.55289788408464,34.13116323599809,69.5911602209945,3.8834951456310702,12.5,7.804878048780487,12.42603550295858,0.0
CHI,8,28.847561513182686,9.83082264942592,0.0,0.0,10.714285714285708,N,EA,6,0,0,0,782,76.6274548376889,39.27695044617412,53.66541353383462,68.83255503669112,67.98510935318751,45.20306062389643,30.230607966457026,48.283987296383565,62.72722783529371,86.25387665801762,64.31950263549129,63.20147194112236,47.91766395404499,62.8729281767956,38.83495145631068,31.25,54.634146341463406,24.85207100591716,4.4255513338161325
CHI,9,29.013699201754296,7.481467040455503,0.0,0.0,-7.142857142857153,N,EA,5,0,0,0,770,116.75531060831176,59.95314507497519,38.34586466165414,60.72048032021347,49.74406700791064,46.77261134000391,55.05241090146752,43.94017006454256,47.621236341645016,47.41119981941336,50.26354912826058,43.6982520699172,37.194830062230736,53.9447513812155,31.067961165048548,43.74999999999999,23.41463414634146,49.70414201183432,2.237577008164602
CLE,1,28.833835950940266,9.6283599192257,21.04121736935686,12.63610950447112,21.785714285714263,Y,EA,2,10,5,0,603,168.32151576138867,73.63539804966699,57.25185198869406,31.98132088058705,58.93438808748254,61.97763390229547,19.958071278826,31.61049072840897,74.48782269946776,38.26550043711968,0.0,59.4296228150874,19.53087601723313,31.37016574585636,54.61165048543689,80.078125,25.36585365853658,64.49704142011834,39.631055247467785
